Tipo_accidente,Longitude,Diseño Via,Minute,Hour,Day_of_week,Day_of_year,Month,Latitude,Class
Otro,-75.5592064689,Tramo de via,15,5,2,1,1,6.266927205140001,1
Atropello,-75.5534632834,Tramo de via,30,5,2,1,1,6.2893802903400005,1
Atropello,-75.6076204174,Tramo de via,37,5,2,1,1,6.2342063005999995,1
Atropello,-75.5682712924,Tramo de via,50,5,2,1,1,6.259996521590001,1
Atropello,-75.5500449822,Tramo de via,0,6,2,1,1,6.26480346497,1
Choque,-75.5921275475,Tramo de via,20,6,2,1,1,6.28171444242,1
Choque,-75.5958545903,Tramo de via,30,6,2,1,1,6.25788828551,1
Caida Ocupante,-75.5767542122,Tramo de via,0,7,2,1,1,6.2200393914,1
Choque,-75.6026929027,Tramo de via,20,7,2,1,1,6.2189100569599995,1
Choque,-75.5555866067,Interseccion,0,9,2,1,1,6.284520178049999,1
Otro,-75.5896659038,Tramo de via,0,9,2,1,1,6.2825344863,1
Choque,-75.5748751856,Tramo de via,15,9,2,1,1,6.2542915597899995,0
Choque,-75.5792711732,Tramo de via,20,9,2,1,1,6.209121563659999,1
Otro,-75.5881425234,Tramo de via,30,9,2,1,1,6.278530493280001,1
Otro,-75.55538696020001,Tramo de via,30,9,2,1,1,6.272155852999999,0
Choque,-75.54225001020001,Tramo de via,40,9,2,1,1,6.2349493026400005,0
Choque,-75.554627185,Interseccion,0,10,2,1,1,6.235784467359999,1
Choque,-75.5628222491,Interseccion,30,10,2,1,1,6.29076838339,0
Otro,-75.5822718603,Tramo de via,45,10,2,1,1,6.289324887359999,1
Otro,-75.573496302,Tramo de via,55,10,2,1,1,6.27627044541,1
Otro,-75.5614934363,Tramo de via,0,11,2,1,1,6.309222478840001,1
Caida Ocupante,-75.6002119766,Tramo de via,40,11,2,1,1,6.26885302782,1
Atropello,-75.6058478065,Tramo de via,0,12,2,1,1,6.226509007130001,1
Choque,-75.5501885491,Tramo de via,0,12,2,1,1,6.20595569096,1
Otro,-75.5776455195,Tramo de via,25,12,2,1,1,6.25436112717,0
Choque,-75.58727660310001,Interseccion,40,12,2,1,1,6.2316528062900005,0
Otro,-75.5647398179,Tramo de via,0,13,2,1,1,6.249280482640001,1
Choque,-75.5554658555,Tramo de via,50,13,2,1,1,6.252187478350001,1
Otro,-75.6219159638,Tramo de via,0,14,2,1,1,6.24467742429,1
Caida Ocupante,-75.5798433731,Tramo de via,40,15,2,1,1,6.3001932543,1
Choque,-75.5544103494,Interseccion,0,16,2,1,1,6.26311641517,0
Caida Ocupante,-75.5434055363,Tramo de via,0,16,2,1,1,6.2696161765900005,1
Choque,-75.5455929425,Tramo de via,30,17,2,1,1,6.28868262944,1
Choque,-75.560496533,Interseccion,20,18,2,1,1,6.27572942836,1
Choque,-75.5690690869,Tramo de via,20,18,2,1,1,6.25561230725,1
Caida Ocupante,-75.6355847353,Tramo de via,30,18,2,1,1,6.27864182165,1
Otro,-75.5918856225,Tramo de via,30,18,2,1,1,6.292175835680001,1
Choque,-75.5737802262,Tramo de via,50,18,2,1,1,6.27544305503,0
Volcamiento,-75.58644798979999,Tramo de via,20,19,2,1,1,6.217154934859999,1
Choque,-75.54325060010001,Tramo de via,0,20,2,1,1,6.265245912569999,0
Caida Ocupante,-75.5551017821,Tramo de via,0,20,2,1,1,6.26741490526,1
Otro,-75.5951218662,Tramo de via,30,20,2,1,1,6.280972301259999,1
Choque,-75.5615552774,Tramo de via,0,21,2,1,1,6.25730383992,0
Atropello,-75.547321239,Tramo de via,0,21,2,1,1,6.2988212873,1
Atropello,-75.5939200295,Tramo de via,0,21,2,1,1,6.2871306873099995,1
Atropello,-75.54632228,Tramo de via,20,21,2,1,1,6.290227993589999,1
Otro,-75.5870166808,Tramo de via,30,21,2,1,1,6.2870124527,1
Choque,-75.5478897359,Tramo de via,45,21,2,1,1,6.2656909701900005,0
Atropello,-75.54488775979999,Tramo de via,0,22,2,1,1,6.26222126222,1
Choque,-75.5586879787,Tramo de via,10,23,2,1,1,6.27360336092,1
Choque,-75.5427176564,Tramo de via,20,23,2,1,1,6.293150885859999,0
Otro,-75.5895532697,Tramo de via,20,23,2,1,1,6.27712511457,1
Choque,-75.5892186871,Tramo de via,20,23,2,1,1,6.20710599007,0
Atropello,-75.5752538073,Tramo de via,0,0,3,2,1,6.24909389652,1
Choque,-75.5702123608,Tramo de via,15,0,3,2,1,6.23625210464,0
Choque,-75.5727410474,Tramo de via,54,0,3,2,1,6.265294206669999,0
Choque,-75.5727410474,Tramo de via,0,1,3,2,1,6.265294206669999,0
Atropello,-75.5368522923,Tramo de via,0,1,3,2,1,6.2568930503199995,1
Choque,-75.5844577034,Tramo de via,50,1,3,2,1,6.25764188127,0
Choque,-75.5920436489,Tramo de via,0,2,3,2,1,6.27644085772,0
Choque,-75.5628222491,Tramo de via,15,2,3,2,1,6.29076838339,1
Otro,-75.56447590260001,Tramo de via,20,2,3,2,1,6.27550562316,1
Caida Ocupante,-75.56182159859999,Tramo de via,20,2,3,2,1,6.2929897314100005,1
Atropello,-75.5519938825,Tramo de via,45,2,3,2,1,6.30401992007,1
Choque,-75.5939737045,Tramo de via,0,3,3,2,1,6.2662099714499995,0
Caida Ocupante,-75.5925195682,Tramo de via,30,3,3,2,1,6.2724121108399995,1
Choque,-75.5700742865,Interseccion,50,3,3,2,1,6.251323867509999,0
Otro,-75.5560475892,Tramo de via,0,4,3,2,1,6.248542046080001,1
Choque,-75.5639916459,Glorieta,20,4,3,2,1,6.27772306046,1
Choque,-75.5878631764,Tramo de via,30,4,3,2,1,6.24719144155,0
Choque,-75.61698180489999,Tramo de via,50,4,3,2,1,6.25359190475,1
Volcamiento,-75.5753640012,Tramo de via,0,5,3,2,1,6.24069888334,1
Choque,-75.5872909248,Interseccion,25,5,3,2,1,6.28665749229,1
Otro,-75.552865153,Tramo de via,25,6,3,2,1,6.280508919400001,1
Choque,-75.5861350383,Tramo de via,30,6,3,2,1,6.2584546012199995,0
Choque,-75.5718700112,Tramo de via,50,7,3,2,1,6.250066058940001,1
Choque,-75.5538955345,Tramo de via,30,10,3,2,1,6.26820122798,1
Caida Ocupante,-75.58223361270001,Tramo de via,40,10,3,2,1,6.29913777918,1
Choque,-75.63695569869999,Interseccion,0,11,3,2,1,6.176041661419999,0
Choque,-75.56324601760001,Tramo de via,50,11,3,2,1,6.264080045680001,1
Caida Ocupante,-75.5782095971,Tramo de via,15,12,3,2,1,6.28797855612,1
Choque,-75.57359083989999,Interseccion,30,12,3,2,1,6.28365786178,0
Choque,-75.5709938429,Tramo de via,30,12,3,2,1,6.181181113969999,0
Choque,-75.6044421783,Interseccion,30,12,3,2,1,6.261270087840001,1
Choque,-75.5691618187,Tramo de via,40,12,3,2,1,6.224810296779999,0
Choque,-75.5972749995,Tramo de via,58,12,3,2,1,6.2243151086,1
Choque,-75.5998541277,Interseccion,0,13,3,2,1,6.22589880883,0
Caida Ocupante,-75.5885012726,Tramo de via,0,13,3,2,1,6.28761561926,1
Choque,-75.5895532697,Tramo de via,0,13,3,2,1,6.27712511457,0
Caida Ocupante,-75.5695054078,Tramo de via,4,13,3,2,1,6.261405905499999,1
Choque,-75.5743001574,Interseccion,10,13,3,2,1,6.21221851117,0
Choque,-75.5702851394,Tramo de via,16,13,3,2,1,6.300353393069999,1
Atropello,-75.57766515520001,Tramo de via,30,13,3,2,1,6.24704950369,1
Choque,-75.57253240680001,Tramo de via,30,13,3,2,1,6.22547855141,0
Otro,-75.5826690282,Tramo de via,30,13,3,2,1,6.23325052175,1
Choque,-75.610821242,Tramo de via,50,13,3,2,1,6.25415616897,0
Choque,-75.5647398179,Tramo de via,50,13,3,2,1,6.249280482640001,0
Choque,-75.5837318984,Tramo de via,10,14,3,2,1,6.24540739972,0
Choque,-75.5763953238,Tramo de via,30,14,3,2,1,6.19418781216,0
Choque,-75.6026461031,Tramo de via,50,14,3,2,1,6.2450843553999995,1
Otro,-75.5735302309,Interseccion,0,15,3,2,1,6.24855606554,1
Otro,-75.563547107,Tramo de via,0,15,3,2,1,6.25544942344,1
Choque,-75.56526057880001,Tramo de via,20,15,3,2,1,6.24834593975,1
Choque,-75.6041612531,Tramo de via,20,15,3,2,1,6.246081715369999,0
Choque,-75.5559634029,Tramo de via,21,15,3,2,1,6.185315484199999,0
Otro,-75.59612943020001,Tramo de via,40,15,3,2,1,6.22946658344,0
Caida Ocupante,-75.589313202,Tramo de via,0,16,3,2,1,6.239786615700001,1
Choque,-75.6016962668,Tramo de via,20,16,3,2,1,6.25208031597,0
Choque,-75.5821595091,Tramo de via,30,16,3,2,1,6.304021060599999,0
Choque,-75.5879358553,Tramo de via,30,16,3,2,1,6.2786968744800005,0
Choque,-75.5879784166,Tramo de via,30,16,3,2,1,6.25253573293,0
Atropello,-75.5713309615,Tramo de via,40,16,3,2,1,6.25114095248,1
Atropello,-75.56487573359999,Tramo de via,0,17,3,2,1,6.27820805593,1
Choque,-75.5666004966,Interseccion,10,17,3,2,1,6.209174271599999,0
Choque,-75.5636262671,Tramo de via,20,17,3,2,1,6.287418817459999,1
Choque,-75.5492840173,Tramo de via,20,17,3,2,1,6.24269507284,0
Choque,-75.5885223638,Interseccion,25,17,3,2,1,6.210720269019999,0
Choque,-75.5660965116,Tramo de via,30,17,3,2,1,6.26627320222,0
Choque,-75.5865268196,Tramo de via,30,17,3,2,1,6.25297361941,0
Choque,-75.6004113088,Interseccion,30,17,3,2,1,6.255497528049999,0
Choque,-75.60839115819999,Interseccion,40,17,3,2,1,6.2294214695,1
Otro,-75.5681263378,Tramo de via,45,17,3,2,1,6.25481416406,1
Otro,-75.58364103619999,Tramo de via,50,17,3,2,1,6.25785122956,1
Choque,-75.5917354157,Tramo de via,0,18,3,2,1,6.26774004779,1
Caida Ocupante,-75.5655689708,Tramo de via,10,18,3,2,1,6.3066439679699995,1
Otro,-75.5629063762,Tramo de via,10,18,3,2,1,6.2861282883000005,0
Choque,-75.5994920895,Interseccion,15,18,3,2,1,6.24388084038,0
Choque,-75.5761466627,Tramo de via,15,18,3,2,1,6.21334133339,0
Atropello,-75.5523078128,Tramo de via,25,18,3,2,1,6.27160253237,1
Otro,-75.5741954398,Tramo de via,30,18,3,2,1,6.23359338169,1
Choque,-75.6218635809,Interseccion,30,18,3,2,1,6.254505655040001,0
Caida Ocupante,-75.5694308118,Tramo de via,50,18,3,2,1,6.236063401390001,1
Otro,-75.5952748333,Tramo de via,50,18,3,2,1,6.27829779541,1
Choque,-75.57055965020001,Tramo de via,50,18,3,2,1,6.28917244671,0
Choque,-75.5556872901,Tramo de via,10,19,3,2,1,6.30724755247,0
Choque,-75.5861685334,Tramo de via,20,19,3,2,1,6.2374757254199995,1
Choque,-75.5672783664,Interseccion,20,19,3,2,1,6.24824278115,0
Choque,-75.59034067,Tramo de via,30,19,3,2,1,6.248607504680001,1
Choque,-75.5905297875,Tramo de via,30,19,3,2,1,6.1957033002,1
Otro,-75.57667522770001,Tramo de via,30,19,3,2,1,6.20758134606,1
Atropello,-75.55346598930001,Tramo de via,50,19,3,2,1,6.26283820988,1
Otro,-75.5748442877,Tramo de via,0,20,3,2,1,6.25759091439,1
Choque,-75.56610364550001,Tramo de via,20,20,3,2,1,6.22059669976,1
Atropello,-75.5679020093,Tramo de via,30,20,3,2,1,6.24941390401,1
Choque,-75.564938987,Tramo de via,30,20,3,2,1,6.27292684243,0
Choque,-75.5655822333,Tramo de via,30,20,3,2,1,6.26924281935,0
Atropello,-75.5859405418,Tramo de via,30,21,3,2,1,6.2488733407599995,1
Atropello,-75.5470507943,Tramo de via,30,21,3,2,1,6.28256553651,1
Choque,-75.5735919669,Tramo de via,30,21,3,2,1,6.19918124912,0
Choque,-75.5597903612,Interseccion,40,21,3,2,1,6.28598436184,0
Atropello,-75.5322878925,Tramo de via,50,21,3,2,1,6.23592100596,1
Choque,-75.60756800760001,Tramo de via,0,22,3,2,1,6.231706501050001,1
Atropello,-75.56774556090001,Tramo de via,0,22,3,2,1,6.23222154144,1
Choque,-75.5459530559,Tramo de via,10,22,3,2,1,6.29441314046,1
Choque,-75.5447987725,Interseccion,15,22,3,2,1,6.242550302690001,0
Choque,-75.5892186871,Tramo de via,30,22,3,2,1,6.20710599007,0
Atropello,-75.5574464031,Tramo de via,30,22,3,2,1,6.29966255324,1
Atropello,-75.5802293845,Tramo de via,0,23,3,2,1,6.282985181209999,1
Choque,-75.55426604590001,Tramo de via,0,23,3,2,1,6.22920007834,1
Choque,-75.5668459613,Interseccion,0,23,3,2,1,6.25610603038,1
Choque,-75.5600093432,Tramo de via,20,23,3,2,1,6.247648805240001,0
Choque,-75.5804701854,Tramo de via,20,23,3,2,1,6.25801832525,0
Choque,-75.57080362800001,Tramo de via,30,23,3,2,1,6.24471990473,0
Choque,-75.6024756857,Glorieta,0,0,4,3,1,6.25058952576,0
Caida Ocupante,-75.57315181989999,Tramo de via,0,0,4,3,1,6.263488553459999,1
Choque,-75.5861953534,Tramo de via,10,0,4,3,1,6.2584759420300005,1
Choque,-75.5826690282,Tramo de via,20,0,4,3,1,6.23325052175,0
Choque,-75.59152758489999,Tramo de via,29,0,4,3,1,6.23222167898,0
Choque,-75.6003028022,Tramo de via,30,0,4,3,1,6.238743436619999,0
Choque,-75.60404013739999,Interseccion,30,0,4,3,1,6.237509398069999,1
Choque,-75.57621741060001,Tramo de via,40,0,4,3,1,6.23734042008,0
Caida Ocupante,-75.5488361939,Tramo de via,45,0,4,3,1,6.262942783450001,1
Choque,-75.6051020987,Tramo de via,45,0,4,3,1,6.23105702342,1
Atropello,-75.600673308,Tramo de via,0,1,4,3,1,6.23043598446,1
Choque,-75.5802348129,Tramo de via,10,1,4,3,1,6.25866550809,0
Choque,-75.5773840309,Tramo de via,10,1,4,3,1,6.28487872898,0
Atropello,-75.5352782992,Tramo de via,30,1,4,3,1,6.26664768268,1
Choque,-75.55374172970001,Tramo de via,30,1,4,3,1,6.28445135415,0
Choque,-75.6003300734,Tramo de via,30,1,4,3,1,6.2164225150400005,0
Atropello,-75.5521641585,Tramo de via,35,1,4,3,1,6.2724651401600005,1
Choque,-75.5614385599,Tramo de via,40,1,4,3,1,6.25003114929,0
Choque,-75.5640312877,Tramo de via,45,1,4,3,1,6.254674713689999,0
Atropello,-75.5923497685,Tramo de via,10,2,4,3,1,6.27292496093,1
Choque,-75.5445396388,Tramo de via,20,2,4,3,1,6.24519215615,0
Choque,-75.57916479880001,Tramo de via,50,2,4,3,1,6.25161364107,0
Choque,-75.5846181617,Tramo de via,0,3,4,3,1,6.28614280957,0
Choque,-75.6444028096,Tramo de via,0,3,4,3,1,6.1729408972,0
Otro,-75.5768654112,Tramo de via,0,3,4,3,1,6.267987434939999,1
Atropello,-75.5815587812,Tramo de via,10,3,4,3,1,6.29936788286,1
Caida Ocupante,-75.610821242,Tramo de via,30,3,4,3,1,6.25415616897,1
Choque,-75.5496957204,Tramo de via,30,3,4,3,1,6.29242562591,1
Choque,-75.5899249145,Tramo de via,50,3,4,3,1,6.1970468547,0
Atropello,-75.5541759436,Tramo de via,0,4,4,3,1,6.27635294584,1
Choque,-75.5698391863,Interseccion,0,4,4,3,1,6.229728733150001,1
Choque,-75.6106108366,Tramo de via,0,4,4,3,1,6.25160739075,0
Choque,-75.5530049612,Tramo de via,20,5,4,3,1,6.23235113237,1
Choque,-75.5886776128,Tramo de via,20,6,4,3,1,6.24983162772,0
Otro,-75.6030049535,Tramo de via,50,6,4,3,1,6.23932598579,0
Otro,-75.57347746010001,Tramo de via,0,7,4,3,1,6.2725469148699995,1
Otro,-75.5962762728,Tramo de via,30,7,4,3,1,6.2784655564100005,1
Volcamiento,-75.5656870717,Tramo de via,30,8,4,3,1,6.2963482448,1
Volcamiento,-75.56568175529999,Tramo de via,45,8,4,3,1,6.2726085275,1
Choque,-75.5681594535,Tramo de via,30,9,4,3,1,6.304913347519999,0
Choque,-75.5755543051,Tramo de via,50,9,4,3,1,6.1985106636300005,1
Choque,-75.5691371673,Interseccion,50,10,4,3,1,6.24546144932,0
Atropello,-75.5534696878,Tramo de via,15,11,4,3,1,6.23266197171,1
Choque,-75.59541001630001,Tramo de via,45,11,4,3,1,6.26938256591,1
Choque,-75.5788759407,Tramo de via,55,11,4,3,1,6.27593369262,1
Choque,-75.57315181989999,Tramo de via,0,12,4,3,1,6.263488553459999,0
Choque,-75.568274124,Tramo de via,30,12,4,3,1,6.24051398413,1
Choque,-75.5638107236,Tramo de via,50,12,4,3,1,6.28120500252,1
Choque,-75.5799243879,Tramo de via,55,12,4,3,1,6.194881198639999,0
Choque,-75.5859550007,Tramo de via,0,13,4,3,1,6.258990439730001,0
Choque,-75.58606726880001,Tramo de via,10,13,4,3,1,6.24811239049,1
Choque,-75.5811584912,Tramo de via,30,13,4,3,1,6.29127222709,1
Atropello,-75.5495528956,Tramo de via,45,13,4,3,1,6.28025266152,1
Choque,-75.5765743781,Tramo de via,45,13,4,3,1,6.20874755798,1
Choque,-75.5741954398,Tramo de via,50,13,4,3,1,6.23359338169,0
Choque,-75.6120273823,Tramo de via,12,14,4,3,1,6.22960796421,0
Choque,-75.612888826,Tramo de via,35,14,4,3,1,6.24954906336,1
Caida Ocupante,-75.5527941584,Tramo de via,0,15,4,3,1,6.27486421127,1
Choque,-75.5895646467,Tramo de via,5,15,4,3,1,6.27715446014,1
Atropello,-75.59863185489999,Tramo de via,15,15,4,3,1,6.21788158847,1
Choque,-75.5895532697,Interseccion,40,15,4,3,1,6.27712511457,0
Choque,-75.5689758196,Tramo de via,48,15,4,3,1,6.25649004655,0
Choque,-75.5940075954,Tramo de via,50,15,4,3,1,6.23507420142,1
Choque,-75.56913051149999,Tramo de via,55,15,4,3,1,6.210143154419999,1
Choque,-75.5831360679,Tramo de via,0,16,4,3,1,6.239401418430001,0
Caida Ocupante,-75.6042496356,Tramo de via,0,16,4,3,1,6.24958479358,1
Choque,-75.5536282703,Tramo de via,0,16,4,3,1,6.193881929990001,1
Choque,-75.5730482146,Tramo de via,40,16,4,3,1,6.2562844780999995,0
Choque,-75.5753010984,Glorieta,50,16,4,3,1,6.246282813230001,0
Choque,-75.57830101569999,Tramo de via,50,16,4,3,1,6.225864623580001,1
Choque,-75.57297351359999,Tramo de via,0,17,4,3,1,6.25202776708,0
Choque,-75.5650660167,Tramo de via,10,17,4,3,1,6.2721986119,0
Choque,-75.541603372,Tramo de via,30,17,4,3,1,6.28918530964,1
Choque,-75.5832177691,Interseccion,40,17,4,3,1,6.250101482540001,0
Choque,-75.5650407393,Interseccion,0,18,4,3,1,6.25778654873,0
Choque,-75.57440519890001,Tramo de via,0,18,4,3,1,6.231907625580001,0
Choque,-75.5552707025,Tramo de via,10,18,4,3,1,6.23990683025,0
Choque,-75.6448079083,Tramo de via,10,18,4,3,1,6.17463701714,0
Choque,-75.5809182676,Tramo de via,10,18,4,3,1,6.25660199046,0
Choque,-75.5588440071,Tramo de via,20,18,4,3,1,6.25104728985,0
Atropello,-75.6395799569,Tramo de via,30,18,4,3,1,6.281602761259999,1
Choque,-75.6008627851,Tramo de via,30,18,4,3,1,6.25040509564,0
Caida Ocupante,-75.5802348129,Tramo de via,30,18,4,3,1,6.25866550809,1
Choque,-75.58532860369999,Tramo de via,30,18,4,3,1,6.24422859015,0
Choque,-75.5984098656,Tramo de via,40,18,4,3,1,6.26386982074,0
Choque,-75.5881425234,Tramo de via,40,18,4,3,1,6.278530493280001,0
Otro,-75.55701913819999,Tramo de via,45,18,4,3,1,6.2733153729,1
Volcamiento,-75.58499140560001,Tramo de via,0,19,4,3,1,6.2091131649,1
Choque,-75.564163007,Tramo de via,0,19,4,3,1,6.24226139599,0
Otro,-75.5730009697,Tramo de via,0,19,4,3,1,6.27614313661,1
Volcamiento,-75.60274092659999,Tramo de via,0,19,4,3,1,6.2432962539100005,1
Atropello,-75.5716930888,Tramo de via,0,19,4,3,1,6.241990856319999,1
Choque,-75.5643047892,Tramo de via,10,19,4,3,1,6.244488269630001,1
Choque,-75.5537620092,Interseccion,10,19,4,3,1,6.2372499627,0
Choque,-75.5594330328,Glorieta,15,19,4,3,1,6.23489828729,0
Atropello,-75.6104292272,Tramo de via,30,19,4,3,1,6.2732391949699995,1
Choque,-75.5752597216,Glorieta,30,19,4,3,1,6.24685341912,0
Choque,-75.5826341985,Interseccion,50,19,4,3,1,6.22666991306,0
Otro,-75.5984345232,Tramo de via,50,19,4,3,1,6.268796538180001,1
Otro,-75.5510512028,Tramo de via,0,20,4,3,1,6.23065180171,1
Choque,-75.5864383453,Tramo de via,0,20,4,3,1,6.27133361615,0
Choque,-75.6003383709,Tramo de via,5,20,4,3,1,6.23929899081,0
Choque,-75.5913582482,Tramo de via,10,20,4,3,1,6.22573956161,1
Choque,-75.5665094166,Tramo de via,30,20,4,3,1,6.25002467854,0
Choque,-75.5972778541,Tramo de via,30,20,4,3,1,6.247169388450001,0
Choque,-75.5867574344,Tramo de via,30,20,4,3,1,6.28999886523,1
Atropello,-75.573174837,Tramo de via,50,20,4,3,1,6.245590915219999,1
Atropello,-75.559998478,Tramo de via,50,20,4,3,1,6.266740015800001,1
Choque,-75.5730009697,Glorieta,0,21,4,3,1,6.27614313661,0
Choque,-75.5579868336,Tramo de via,10,21,4,3,1,6.2743962213,1
Choque,-75.5730009697,Tramo de via,20,21,4,3,1,6.27614313661,0
Caida Ocupante,-75.571222837,Tramo de via,20,21,4,3,1,6.24885062549,1
Atropello,-75.5330541292,Tramo de via,30,21,4,3,1,6.23599509531,1
Choque,-75.5428554115,Tramo de via,35,21,4,3,1,6.22680473222,1
Choque,-75.5994715078,Tramo de via,45,21,4,3,1,6.22238987781,0
Atropello,-75.5510666541,Tramo de via,50,21,4,3,1,6.2836910688900005,1
Atropello,-75.5413932177,Tramo de via,0,22,4,3,1,6.29485984952,1
Atropello,-75.5603264361,Tramo de via,0,22,4,3,1,6.25025358842,1
Choque,-75.5846732201,Tramo de via,10,22,4,3,1,6.24444434306,1
Choque,-75.53790985810001,Tramo de via,20,22,4,3,1,6.2690438436,1
Choque,-75.5800329561,Tramo de via,30,22,4,3,1,6.194944168169999,1
Choque,-75.5998959765,Tramo de via,30,22,4,3,1,6.26514477742,1
Choque,-75.64015007100001,Tramo de via,30,22,4,3,1,6.18402839378,0
Choque,-75.58021311899999,Interseccion,45,22,4,3,1,6.194771905770001,0
Otro,-75.5823325646,Tramo de via,47,22,4,3,1,6.2531921087,1
Choque,-75.5768654112,Tramo de via,50,22,4,3,1,6.267987434939999,0
Choque,-75.5834433129,Tramo de via,0,23,4,3,1,6.253472588080001,0
Choque,-75.5643156328,Tramo de via,0,23,4,3,1,6.266416017619999,1
Otro,-75.5481112554,Tramo de via,0,23,4,3,1,6.24313442515,1
Caida Ocupante,-75.5881425234,Tramo de via,0,23,4,3,1,6.278530493280001,1
Atropello,-75.5688912646,Tramo de via,15,23,4,3,1,6.25282499748,1
Atropello,-75.5487928946,Tramo de via,20,23,4,3,1,6.23370014409,1
Choque,-75.6039753736,Tramo de via,30,23,4,3,1,6.2506408568800005,0
Choque,-75.5563980835,Interseccion,30,23,4,3,1,6.26145863921,0
Choque,-75.6022415769,Tramo de via,50,23,4,3,1,6.23329832341,0
Caida Ocupante,-75.5587692898,Tramo de via,0,0,5,4,1,6.31143210446,1
Choque,-75.600673308,Tramo de via,10,0,5,4,1,6.23043598446,0
Choque,-75.59888113390001,Interseccion,20,0,5,4,1,6.2617117245500005,0
Caida Ocupante,-75.57366935489999,Tramo de via,30,0,5,4,1,6.29582327896,1
Atropello,-75.5374845304,Tramo de via,0,1,5,4,1,6.23621434744,1
Choque,-75.5669159056,Tramo de via,5,1,5,4,1,6.3047389122,0
Atropello,-75.5834931629,Tramo de via,30,1,5,4,1,6.22657923656,1
Volcamiento,-75.5534936416,Tramo de via,50,1,5,4,1,6.229208929330001,1
Choque,-75.5800778896,Tramo de via,15,2,5,4,1,6.27268179092,1
Choque,-75.5800778896,Tramo de via,20,2,5,4,1,6.27268179092,0
Caida Ocupante,-75.6235592422,Tramo de via,20,3,5,4,1,6.24660368279,1
Caida Ocupante,-75.54156524359999,Tramo de via,30,3,5,4,1,6.294638075269999,1
Choque,-75.56424412140001,Tramo de via,0,4,5,4,1,6.244469277009999,1
Otro,-75.5558068781,Lote o Predio,0,5,5,4,1,6.23721512149,1
Choque,-75.54926223560001,Tramo de via,10,5,5,4,1,6.2737083907,1
Atropello,-75.5742795012,Tramo de via,0,6,5,4,1,6.27426160184,1
Choque,-75.5859405418,Interseccion,40,7,5,4,1,6.2488733407599995,1
Choque,-75.5739606743,Tramo de via,45,8,5,4,1,6.27039040864,0
Choque,-75.55570779600001,Tramo de via,10,10,5,4,1,6.26276862208,0
Atropello,-75.5877230648,Tramo de via,20,10,5,4,1,6.199176520369999,1
Volcamiento,-75.5460755436,Tramo de via,30,10,5,4,1,6.27817679406,1
Choque,-75.5765743781,Interseccion,40,10,5,4,1,6.20874755798,0
Otro,-75.5859405418,Tramo de via,0,11,5,4,1,6.2488733407599995,1
Choque,-75.5766308157,Interseccion,20,11,5,4,1,6.2674536863100005,0
Atropello,-75.5495528956,Tramo de via,20,11,5,4,1,6.28025266152,1
Choque,-75.5692972079,Tramo de via,30,11,5,4,1,6.2805770469099995,1
Choque,-75.5698391863,Tramo de via,30,11,5,4,1,6.229728733150001,1
Caida Ocupante,-75.55570779600001,Tramo de via,30,11,5,4,1,6.26276862208,1
Choque,-75.5881393144,Tramo de via,45,11,5,4,1,6.2804884626,1
Choque,-75.5936174414,Tramo de via,45,11,5,4,1,6.21689875803,1
Choque,-75.58749074640001,Tramo de via,45,11,5,4,1,6.20304918211,1
Choque,-75.60274932680001,Interseccion,50,11,5,4,1,6.2227841242999995,0
Choque,-75.57546234510001,Interseccion,0,12,5,4,1,6.2773101612,1
Caida Ocupante,-75.561984532,Tramo de via,0,12,5,4,1,6.25127554113,1
Choque,-75.5616601013,Interseccion,10,12,5,4,1,6.30343375536,0
Otro,-75.5805195389,Tramo de via,20,12,5,4,1,6.248002080700001,1
Atropello,-75.5693951195,Tramo de via,30,12,5,4,1,6.2433723879,1
Choque,-75.5990455553,Interseccion,30,12,5,4,1,6.26901216463,0
Choque,-75.5565962555,Tramo de via,30,12,5,4,1,6.26959647969,1
Choque,-75.5861350383,Interseccion,30,12,5,4,1,6.2584546012199995,1
Choque,-75.6032477793,Tramo de via,40,12,5,4,1,6.2105676377,0
Choque,-75.5833143799,Interseccion,43,12,5,4,1,6.23481035228,0
Choque,-75.5690334549,Tramo de via,53,12,5,4,1,6.25180573994,0
Atropello,-75.57520196899999,Tramo de via,0,13,5,4,1,6.24757394791,1
Choque,-75.5750893707,Tramo de via,0,13,5,4,1,6.2632353425,1
Choque,-75.6444909841,Tramo de via,20,13,5,4,1,6.17344051196,1
Choque,-75.5559885828,Tramo de via,20,13,5,4,1,6.28936619133,1
Caida Ocupante,-75.5717045716,Tramo de via,20,13,5,4,1,6.25212195244,1
Choque,-75.5695979371,Tramo de via,30,13,5,4,1,6.21907939547,0
Caida Ocupante,-75.5967277363,Tramo de via,30,13,5,4,1,6.26375211873,1
Choque,-75.5571282155,Interseccion,50,13,5,4,1,6.26262251568,0
Caida Ocupante,-75.5679746349,Interseccion,0,14,5,4,1,6.24954025273,1
Choque,-75.5826882708,Tramo de via,0,14,5,4,1,6.2340749648000005,0
Caida Ocupante,-75.5636339585,Tramo de via,0,14,5,4,1,6.2794961125999995,1
Atropello,-75.5413351486,Tramo de via,0,14,5,4,1,6.289445229369999,1
Choque,-75.6024756857,Glorieta,15,14,5,4,1,6.25058952576,0
Choque,-75.5696598662,Tramo de via,20,14,5,4,1,6.25028530866,0
Volcamiento,-75.5684593368,Tramo de via,20,14,5,4,1,6.243846274330001,1
